City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Avera,33.194,-82.5271,47.55,73,0,9.24,US,2022-03-26 09:27:01
1,Hay River,60.8156,-115.7999,-0.42,55,75,6.91,CA,2022-03-26 09:27:02
2,Manokwari,-0.8667,134.0833,80.85,80,80,6.8,ID,2022-03-26 09:27:03
3,Avarua,-21.2078,-159.775,78.85,89,75,9.22,CK,2022-03-26 09:22:35
4,Vaini,-21.2,-175.2,73.56,88,20,5.75,TO,2022-03-26 09:27:05
5,Greeley,40.4233,-104.7091,47.8,80,0,6.91,US,2022-03-26 09:23:40
6,Paamiut,61.994,-49.6678,13.64,67,55,7.29,GL,2022-03-26 09:27:07
7,Olafsvik,64.8945,-23.7142,43.59,97,100,23.58,IS,2022-03-26 09:27:08
8,Faanui,-16.4833,-151.75,82.18,72,96,13.47,PF,2022-03-26 09:27:09
9,Yellowknife,62.456,-114.3525,-17.88,63,0,10.36,CA,2022-03-26 09:27:10
10,Ushuaia,-54.8,-68.3,58.66,51,100,10.36,AR,2022-03-26 09:24:02
11,Bluff,-46.6,168.3333,57.07,79,3,5.01,NZ,2022-03-26 09:27:12
12,Tasiilaq,65.6145,-37.6368,17.76,98,92,3.47,GL,2022-03-26 09:27:13
13,Rikitea,-23.1203,-134.9692,79.16,76,2,15.82,PF,2022-03-26 09:27:14
14,Esperance,-33.8667,121.9,67.84,74,100,8.66,AU,2022-03-26 09:27:15
15,Mahebourg,-20.4081,57.7,87.26,70,40,11.5,MU,2022-03-26 09:27:16
16,Zeya,53.75,127.2667,29.3,77,100,5.75,RU,2022-03-26 09:27:17
17,Kapaa,22.0752,-159.319,71.92,72,100,18.41,US,2022-03-26 09:27:18
18,Puerto Del Rosario,28.5004,-13.8627,64.15,77,20,0.0,ES,2022-03-26 09:27:19
19,Bengkulu,-3.8004,102.2655,85.32,64,89,9.95,ID,2022-03-26 09:27:20
20,Zhanaozen,43.3,52.8,38.03,87,100,19.46,KZ,2022-03-26 09:27:21
21,Sisimiut,66.9395,-53.6735,14.09,89,100,9.04,GL,2022-03-26 09:27:22
22,Katsuura,35.1333,140.3,62.62,86,100,28.14,JP,2022-03-26 09:27:23
23,Smolenka,52.1352,113.4974,35.67,17,40,17.9,RU,2022-03-26 09:27:24
24,Bethel,41.3712,-73.414,46.76,73,75,3.44,US,2022-03-26 09:27:25
25,Monroe,43.1501,-77.6831,39.96,89,75,4.61,US,2022-03-26 09:27:26
26,Bentiu,9.2333,29.8333,93.92,6,10,11.43,SS,2022-03-26 09:27:27
27,Busselton,-33.65,115.3333,67.06,90,96,17.49,AU,2022-03-26 09:27:28
28,Puerto Ayora,-0.7393,-90.3518,76.93,85,100,5.82,EC,2022-03-26 09:27:29
29,Atuona,-9.8,-139.0333,78.93,77,73,18.5,PF,2022-03-26 09:27:30
30,Montelibano,7.9829,-75.4229,76.78,84,78,4.61,CO,2022-03-26 09:27:31
31,Dikson,73.5069,80.5464,15.35,79,100,12.95,RU,2022-03-26 09:27:32
32,Narathiwat,6.3333,101.75,87.66,76,100,5.41,TH,2022-03-26 09:27:33
33,Cassilandia,-19.1133,-51.7342,71.1,92,100,1.28,BR,2022-03-26 09:27:34
34,Punta Arenas,-53.15,-70.9167,48.31,71,75,9.22,CL,2022-03-26 09:27:35
35,Saint-Philippe,-21.3585,55.7679,88.11,76,3,8.21,RE,2022-03-26 09:27:36
36,Lasa,46.6166,10.7002,53.02,70,3,2.89,IT,2022-03-26 09:27:37
37,Lodwar,3.1191,35.5973,91.26,40,38,7.74,KE,2022-03-26 09:27:38
38,Albany,42.6001,-73.9662,38.68,89,74,3.83,US,2022-03-26 09:26:33
39,Sorong,-0.8833,131.25,82.49,75,53,6.93,ID,2022-03-26 09:27:40
40,Cayenne,4.9333,-52.3333,80.1,1,100,9.22,GF,2022-03-26 09:27:41
41,Iqaluit,63.7506,-68.5145,20.93,85,75,17.27,CA,2022-03-26 09:27:42
42,Cidreira,-30.1811,-50.2056,62.26,81,1,11.86,BR,2022-03-26 09:27:43
43,Djibo,14.1022,-1.6306,88.77,36,42,1.43,BF,2022-03-26 09:27:45
44,Gillette,44.2911,-105.5022,37.02,39,100,27.63,US,2022-03-26 09:25:07
45,Katete,-0.7818,29.7544,79.68,45,26,6.49,UG,2022-03-26 09:27:46
46,Narsaq,60.9167,-46.05,21.42,67,54,7.63,GL,2022-03-26 09:27:47
47,Kuytun,54.3419,101.5036,29.07,81,60,10.92,RU,2022-03-26 09:28:48
48,Hobyo,5.3505,48.5268,85.19,52,84,15.21,SO,2022-03-26 09:28:50
49,Port Alfred,-33.5906,26.891,67.17,84,69,4.0,ZA,2022-03-26 09:28:51
50,Belmonte,-15.8631,-38.8828,75.74,81,65,0.13,BR,2022-03-26 09:28:52
51,Penco,-36.7333,-72.9833,52.65,94,100,4.61,CL,2022-03-26 09:28:53
52,Gizo,-8.103,156.8419,77.45,90,100,5.95,SB,2022-03-26 09:25:13
53,Mataura,-46.1927,168.8643,50.16,99,6,0.81,NZ,2022-03-26 09:28:54
54,Norman Wells,65.282,-126.8329,-3.96,77,40,5.75,CA,2022-03-26 09:28:55
55,Victoria,22.2855,114.1577,82.96,85,35,17.0,HK,2022-03-26 09:28:56
56,Mount Darwin,-16.7725,31.5838,83.98,53,7,5.48,ZW,2022-03-26 09:28:57
57,Punta Alta,-38.8759,-62.0736,60.12,81,94,11.27,AR,2022-03-26 09:28:58
58,Licheng,23.2955,113.8284,80.76,81,98,4.68,CN,2022-03-26 09:28:59
59,Bayji,34.9311,43.487,60.01,43,14,6.89,IQ,2022-03-26 09:29:00
60,Karratha,-20.7377,116.8463,88.95,59,57,16.53,AU,2022-03-26 09:29:01
61,Hermanus,-34.4187,19.2345,72.81,62,5,12.5,ZA,2022-03-26 09:29:02
62,Axim,4.8699,-2.2405,83.95,74,94,6.29,GH,2022-03-26 09:29:03
63,Coolum Beach,-26.5333,153.1,74.1,88,100,4.41,AU,2022-03-26 09:29:04
64,Guirang,11.35,125.1167,82.65,75,56,4.34,PH,2022-03-26 09:29:05
65,Cape Town,-33.9258,18.4232,77.11,55,0,16.11,ZA,2022-03-26 09:25:33
66,Zalantun,48.0,122.7167,36.01,50,99,18.45,CN,2022-03-26 09:29:07
67,Malinovoye Ozero,51.6753,79.7825,33.28,87,100,6.89,RU,2022-03-26 09:29:08
68,Makakilo City,21.3469,-158.0858,71.92,74,0,9.22,US,2022-03-26 09:29:09
69,Aklavik,68.2191,-135.0107,-15.39,100,15,7.87,CA,2022-03-26 09:29:10
70,Salalah,17.0151,54.0924,87.04,35,2,10.02,OM,2022-03-26 09:29:11
71,Laguna,38.421,-121.4238,57.45,77,0,6.91,US,2022-03-26 09:29:12
72,Geraldton,-28.7667,114.6,79.21,78,75,8.05,AU,2022-03-26 09:29:13
73,Arraial Do Cabo,-22.9661,-42.0278,76.86,88,20,11.5,BR,2022-03-26 09:29:14
74,Gidole,5.65,37.3667,73.33,44,77,3.18,ET,2022-03-26 09:29:15
75,Asfi,32.2994,-9.2372,59.02,77,6,7.0,MA,2022-03-26 09:29:16
76,Georgetown,5.4112,100.3354,91.33,70,20,10.36,MY,2022-03-26 09:29:17
77,Shkurinskaya,46.5858,39.3599,51.06,43,14,9.89,RU,2022-03-26 09:29:18
78,Rundu,-17.9333,19.7667,82.44,47,4,3.58,NA,2022-03-26 09:29:19
79,Leningradskiy,69.3833,178.4167,-2.72,92,95,4.03,RU,2022-03-26 09:29:20
80,Port Hedland,-20.3167,118.5667,93.25,52,5,18.41,AU,2022-03-26 09:29:21
81,Auki,-8.7676,160.7034,77.67,90,100,8.88,SB,2022-03-26 09:29:22
82,Butaritari,3.0707,172.7902,81.14,72,85,10.4,KI,2022-03-26 09:29:23
83,Garhi Khairo,28.0606,67.9803,104.63,4,0,6.42,PK,2022-03-26 09:29:24
84,Bamora,24.0552,78.0909,99.46,6,7,12.39,IN,2022-03-26 09:29:25
85,Te Anau,-45.4167,167.7167,53.4,95,17,3.78,NZ,2022-03-26 09:29:26
86,Jamestown,42.097,-79.2353,37.02,73,100,14.0,US,2022-03-26 09:26:30
87,Blairmore,49.6,-114.4353,26.92,86,42,1.14,CA,2022-03-26 09:29:28
88,Khatanga,71.9667,102.5,9.25,90,22,9.17,RU,2022-03-26 09:29:29
89,Cherskiy,68.75,161.3,-9.76,100,100,4.12,RU,2022-03-26 09:29:30
90,Warwick,41.7001,-71.4162,46.29,80,20,5.75,US,2022-03-26 09:27:19
91,Belgrade,44.804,20.4651,63.43,37,0,2.3,RS,2022-03-26 09:29:32
92,Upernavik,72.7868,-56.1549,-1.23,95,100,5.84,GL,2022-03-26 09:29:33
93,Aykhal,66.0,111.5,18.09,95,88,4.5,RU,2022-03-26 09:30:35
94,Hilo,19.7297,-155.09,69.53,79,0,5.75,US,2022-03-26 09:30:36
95,Smidovich,48.6,133.8167,31.19,99,100,6.53,RU,2022-03-26 09:30:37
96,Bredasdorp,-34.5322,20.0403,69.93,59,69,16.6,ZA,2022-03-26 09:30:38
97,Gorontalo,0.5412,123.0595,78.84,85,88,5.08,ID,2022-03-26 09:30:39
98,Carnarvon,-24.8667,113.6333,82.47,61,60,14.97,AU,2022-03-26 09:30:40
99,Okha,53.5739,142.9478,23.83,93,90,7.83,RU,2022-03-26 09:30:41
100,Airai,-8.9266,125.4092,62.89,94,86,2.01,TL,2022-03-26 09:30:42
101,Yining,29.0361,114.5636,53.55,95,100,2.28,CN,2022-03-26 09:30:43
102,Yumen,40.2833,97.2,50.4,19,41,10.94,CN,2022-03-26 09:30:44
103,Henties Bay,-22.116,14.2845,67.08,79,43,7.29,NA,2022-03-26 09:30:45
104,Tuktoyaktuk,69.4541,-133.0374,-13.74,92,6,10.87,CA,2022-03-26 09:30:46
105,Charters Towers,-20.1,146.2667,75.36,63,89,14.07,AU,2022-03-26 09:30:47
106,Lata,40.1629,-8.3327,59.07,52,94,10.65,PT,2022-03-26 09:30:48
107,Aniva,46.7144,142.5294,33.91,99,100,5.44,RU,2022-03-26 09:30:49
108,Avinurme,58.9822,26.8642,33.58,86,99,17.67,EE,2022-03-26 09:30:51
109,Chapada Dos Guimaraes,-15.4606,-55.7497,67.66,98,100,3.58,BR,2022-03-26 09:30:52
110,Tay Ninh,11.3,106.1,99.9,29,17,3.04,VN,2022-03-26 09:30:53
111,Clyde River,70.4692,-68.5914,-7.37,77,100,3.44,CA,2022-03-26 09:30:54
112,Barrow,71.2906,-156.7887,-2.18,78,40,19.57,US,2022-03-26 09:30:55
113,Hithadhoo,-0.6,73.0833,83.82,68,6,13.69,MV,2022-03-26 09:30:56
114,Pevek,69.7008,170.3133,-11.9,98,52,3.83,RU,2022-03-26 09:30:57
115,Saint-Francois,46.4154,3.9054,54.41,58,0,1.14,FR,2022-03-26 09:30:58
116,Dingle,10.9995,122.6711,82.76,65,51,7.07,PH,2022-03-26 09:31:00
117,Ardakan,32.31,54.0175,71.96,7,0,4.36,IR,2022-03-26 09:31:01
118,Eskisehir,39.7767,30.5206,39.11,65,40,12.66,TR,2022-03-26 09:26:24
119,Beringovskiy,63.05,179.3167,-2.2,100,54,4.52,RU,2022-03-26 09:31:02
120,Bratsk,56.1325,101.6142,30.69,73,98,12.95,RU,2022-03-26 09:31:04
121,Thompson,55.7435,-97.8558,-14.64,70,0,8.05,CA,2022-03-26 09:30:41
122,Lyuban,52.7985,28.0048,46.65,74,100,21.18,BY,2022-03-26 09:31:05
123,Sturgeon Bay,44.8342,-87.377,28.76,74,100,12.66,US,2022-03-26 09:31:06
124,Ayame,5.6083,-3.1563,86.94,63,79,3.69,CI,2022-03-26 09:31:07
125,Hofn,64.2539,-15.2082,40.32,92,100,4.85,IS,2022-03-26 09:31:08
126,Nanortalik,60.1432,-45.2371,24.26,73,9,5.23,GL,2022-03-26 09:31:09
127,Mahajanga,-15.7167,46.3167,91.42,70,40,9.22,MG,2022-03-26 09:31:10
128,Kropotkin,45.4375,40.5756,46.22,58,99,10.47,RU,2022-03-26 09:31:02
129,Fortuna,40.5982,-124.1573,44.65,100,0,6.91,US,2022-03-26 09:31:13
130,Vila Franca Do Campo,37.7167,-25.4333,59.41,93,100,25.03,PT,2022-03-26 09:31:14
131,Hobart,-42.8794,147.3294,64.26,87,0,4.61,AU,2022-03-26 09:30:08
132,Castro,-24.7911,-50.0119,64.11,98,100,2.68,BR,2022-03-26 09:30:27
133,Friesach,46.9553,14.4058,59.97,46,4,2.8,AT,2022-03-26 09:31:17
134,Santa Cruz,-17.8,-63.1667,62.06,88,75,3.44,BO,2022-03-26 09:27:05
135,Qaanaaq,77.484,-69.3632,2.77,85,100,5.95,GL,2022-03-26 09:31:19
136,Pundaguitan,6.3711,126.1689,78.42,76,100,12.12,PH,2022-03-26 09:31:20
137,Smithers,54.7804,-127.1743,32.32,80,100,2.3,CA,2022-03-26 09:30:14
138,Ribeira Grande,38.5167,-28.7,55.8,94,75,5.75,PT,2022-03-26 09:32:22
139,Severo-Yeniseyskiy,60.3725,93.0408,26.65,91,100,9.69,RU,2022-03-26 09:32:23
140,Bilibino,68.0546,166.4372,-6.12,100,98,3.15,RU,2022-03-26 09:32:24
141,Wertheim,49.7575,9.5094,59.5,45,0,7.7,DE,2022-03-26 09:32:25
142,Meulaboh,4.1363,96.1285,84.38,71,43,4.97,ID,2022-03-26 09:32:26
143,Acapulco,16.8634,-99.8901,69.62,83,75,2.3,MX,2022-03-26 09:30:35
144,Saldanha,-33.0117,17.9442,77.05,59,1,9.48,ZA,2022-03-26 09:32:28
145,Sambava,-14.2667,50.1667,85.12,68,16,10.38,MG,2022-03-26 09:32:29
146,Muros,42.7762,-9.0603,57.69,95,96,4.59,ES,2022-03-26 09:32:30
147,Port Arthur,38.8,121.2667,53.82,69,96,10.8,CN,2022-03-26 09:32:31
148,Nampula,-15.1165,39.2666,85.95,66,75,3.44,MZ,2022-03-26 09:32:32
149,Yar-Sale,66.8333,70.8333,5.86,87,23,1.5,RU,2022-03-26 09:32:33
150,Oranjemund,-28.55,16.4333,67.06,66,0,10.16,NA,2022-03-26 09:32:35
151,Nassau,40.7507,-73.5829,49.08,63,75,6.91,US,2022-03-26 09:30:41
152,Karaton,-6.3424,106.1045,76.46,91,96,3.8,ID,2022-03-26 09:32:37
153,Spokane,47.6166,-117.3677,42.26,71,0,5.75,US,2022-03-26 09:32:38
154,Nikolskoye,59.7035,30.7861,35.71,85,100,15.66,RU,2022-03-26 09:32:39
155,Fallon,39.4735,-118.7774,58.91,46,0,4.61,US,2022-03-26 09:29:30
156,Malampaka,-3.1333,33.5333,74.16,67,92,5.5,TZ,2022-03-26 09:32:41
157,Codrington,-38.2667,141.9667,59.65,91,0,10.33,AU,2022-03-26 09:32:42
158,Longyearbyen,78.2186,15.6401,3.04,66,20,4.61,SJ,2022-03-26 09:32:43
159,Rehoboth,-23.3167,17.0833,76.64,41,20,4.47,NA,2022-03-26 09:32:44
160,Aksha,50.2814,113.2867,28.89,38,91,17.0,RU,2022-03-26 09:32:45
161,Muzhi,65.3667,64.6667,24.69,72,98,16.51,RU,2022-03-26 09:32:46
162,New Norfolk,-42.7826,147.0587,63.9,91,0,2.37,AU,2022-03-26 09:32:47
163,Novyy Urengoy,66.0833,76.6333,9.48,89,100,20.69,RU,2022-03-26 09:32:48
164,La Ronge,55.1001,-105.2842,-7.35,59,0,1.14,CA,2022-03-26 09:32:48
165,Svetlaya,46.5389,138.3297,32.34,99,100,12.24,RU,2022-03-26 09:32:49
166,Marzuq,14.4,46.4667,88.83,15,7,12.88,YE,2022-03-26 09:32:50
167,Kirakira,-10.4544,161.9205,80.47,83,100,5.86,SB,2022-03-26 09:32:51
168,Charcas,23.1333,-101.1167,44.87,44,4,4.18,MX,2022-03-26 09:32:52
169,Nioro,13.35,-15.75,83.71,17,25,6.51,GM,2022-03-26 09:32:53
170,Vostok,46.4856,135.8833,31.17,100,100,1.88,RU,2022-03-26 09:32:54
171,Sur,22.5667,59.5289,89.98,30,0,7.38,OM,2022-03-26 09:32:55
172,Gat,31.61,34.7642,64.4,37,0,7.58,IL,2022-03-26 09:29:03
173,Kavieng,-2.5744,150.7967,82.56,73,95,6.78,PG,2022-03-26 09:32:57
174,Los Llanos De Aridane,28.6585,-17.9182,63.12,59,20,11.5,ES,2022-03-26 09:32:58
175,Provideniya,64.3833,-173.3,7.7,93,16,4.27,RU,2022-03-26 09:33:00
176,Bichura,50.5881,107.6022,28.56,73,51,3.49,RU,2022-03-26 09:33:01
177,Punta De Bombon,-17.1717,-71.7931,68.2,85,46,4.9,PE,2022-03-26 09:33:02
178,Zhigansk,66.7697,123.3711,7.66,97,88,7.11,RU,2022-03-26 09:33:03
179,Camacha,33.0833,-16.3333,58.42,72,40,8.05,PT,2022-03-26 09:33:04
180,Chokurdakh,70.6333,147.9167,2.32,95,100,12.77,RU,2022-03-26 09:33:05
181,Arlit,18.7369,7.3853,92.28,7,23,11.32,NE,2022-03-26 09:33:06
182,Oro Valley,32.3909,-110.9665,72.27,19,97,3.0,US,2022-03-26 09:33:08
183,Port Elizabeth,-33.918,25.5701,70.32,75,75,6.91,ZA,2022-03-26 09:33:09
184,Mitsamiouli,-11.3847,43.2844,89.89,66,20,6.91,KM,2022-03-26 09:34:10
185,Oussouye,12.485,-16.5469,71.78,32,29,6.58,SN,2022-03-26 09:34:11
186,Vestmannaeyjar,63.4427,-20.2734,47.39,100,100,21.85,IS,2022-03-26 09:34:12
187,Saint-Pierre,-21.3393,55.4781,89.19,67,20,5.75,RE,2022-03-26 09:34:14
188,Kangly,44.2544,43.0308,42.85,75,75,11.18,RU,2022-03-26 09:34:15
189,Ponta Do Sol,32.6667,-17.1,63.23,79,100,10.58,PT,2022-03-26 09:34:17
190,Tromso,69.6496,18.957,23.02,74,20,11.5,NO,2022-03-26 09:34:18
191,Newport,51.5877,-2.9984,55.08,67,0,11.27,GB,2022-03-26 09:30:13
192,Karpathos,35.507,27.2132,64.36,72,40,23.02,GR,2022-03-26 09:34:20
